-0.04	-7.61	6.79
-0.31	-7.57	6.71
-0.35	-7.65	6.86
-0.67	-7.61	6.86
-0.63	-7.57	6.90
-1.02	-7.49	6.90
-1.22	-7.65	6.98
-1.26	-7.49	6.94
-1.53	-7.53	6.83
-1.65	-7.53	6.98
-1.84	-7.37	6.94
-1.92	-7.34	6.94
-2.00	-7.65	6.98
-2.35	-7.37	7.06
-2.43	-7.34	7.06
-2.59	-7.34	7.02
-2.71	-7.37	7.02
-2.47	-7.22	7.06
-2.59	-7.30	6.94
-2.79	-7.30	6.94
-2.90	-7.30	6.90
-2.98	-7.37	6.94
-3.10	-7.30	6.86
-3.06	-7.45	7.18
-3.30	-7.14	6.90
-3.57	-7.14	6.86
-3.49	-6.98	6.94
-3.73	-7.02	6.83
-3.65	-6.71	6.86
-3.80	-6.90	6.90
-4.16	-6.86	6.59
-4.35	-6.94	6.67
-4.59	-6.59	6.63
-4.63	-6.59	6.47
-4.82	-6.59	6.71
-4.82	-6.51	6.67
-5.02	-5.81	6.98
-5.30	-5.61	6.79
-5.49	-5.61	6.83
-5.81	-5.57	6.83
-5.84	-5.53	6.63
-6.00	-5.14	6.59
-6.35	-5.06	6.79
-6.28	-4.90	6.71
-6.43	-4.63	6.75
-6.71	-4.55	6.79
-6.79	-4.35	6.79
-6.86	-4.00	7.02
-6.71	-3.61	6.98
-6.98	-3.45	7.06
-6.90	-3.22	6.86
-7.26	-3.06	6.86
-7.02	-3.14	6.86
-7.06	-3.06	6.75
-7.22	-2.94	6.86
-7.37	-2.94	6.75
-7.37	-2.79	6.90
-7.49	-2.63	6.98
-7.49	-2.39	6.98
-7.41	-2.63	6.94
-7.53	-2.55	6.90
-7.41	-2.43	6.90
-7.37	-2.47	7.02
-7.45	-2.31	6.94
-7.57	-2.43	6.98
-7.53	-2.39	7.02
-7.65	-2.35	6.86
-7.85	-2.20	6.71
-7.85	-2.16	6.71
-7.81	-2.12	6.59
-8.04	-2.08	6.47
-7.88	-2.04	6.59
-7.92	-1.77	6.55
-7.92	-2.12	6.47
-8.00	-1.92	6.39
-8.00	-1.65	6.63
-7.88	-1.69	6.67
-7.88	-1.45	6.59
-7.77	-1.37	6.83
-8.04	-1.29	6.63
-7.92	-1.37	6.94
-7.77	-1.29	6.98
-8.00	-1.18	7.06
-7.49	-0.82	7.18
-7.65	-0.43	7.30
-7.30	-0.20	7.34
-7.57	0.16	7.37
-6.94	0.55	7.61
-7.26	0.55	7.65
-7.06	0.39	7.81
-6.86	0.75	7.96
-6.59	0.47	8.20
-6.63	1.02	8.12
-6.67	1.22	8.20
-6.39	1.49	8.28
-6.00	1.84	8.04
-6.35	2.04	8.36
-5.96	2.90	8.55
-6.04	2.90	8.24
-4.86	3.02	9.69
-5.10	3.69	8.20
-4.98	3.96	8.59
-4.75	4.51	8.28
-4.20	4.71	8.51
-4.04	5.02	8.32
-3.61	5.06	8.43
-3.26	5.10	8.59
-2.98	5.26	8.75
-2.82	5.30	8.87
-2.31	5.02	8.83
